lang,allergen
de,SCHALENFRÜCHTE (NÜSSE)
de,Schalenfruchten
de,Schalenfruchten-nusse
de,Schalenfüchte
de,Schalenfürchten
de,Schalentiere
de,Schaltenfrüchte
de,schwefeldioxid-und-sulphite
de,Seier
de,Sellerie Soja
de,Senf  Lupine
de,Senf Soja
de,Senf und Weichtieren enthalten.
de,Sesam Lupine
de,sesam-nüssen
de,Sesamerzeugnissen
de,sesamsaat
de,Soja  Senf
de,Soja Sellerie Senf
de,Soja Senf
de,soja-sesam
de,soja-und-senf-enthalten-enthalt-alkohol
de,Sojabohnen und daraus gewonnene Erzeugnisse
de,stein-oder-schalenteile-enthalten-sein
de,Steine
de,Stevio
de,Sulfit
de,Sulphit
de,Süßlupine
de,tierisches Lab
de,Wallnüsse
de,Weizen Gluten
de,Weizen Rogge Gerste
de,Weizenbestandteilen
de,wezen
de,Zusatz von Vitaminen und Magnesium
el,Άλλους καρπούς με κέλυφος
el,Αραχίδας (αράπικα φιστίκια)
el,γαλα
el,λακτόζη
el,Λακτόζη
el,Μπορεί να περιέχει ίχνη από 
el,Ξηροί Καρποί
el,ξηρούς καρπούς
el,ξηρούς καρπούς σογια
el,προϊόντα σόγιας
el,πρωτεΐνες δημητριακών (γλουτένη)
el,Σπόρους σησαμιού και προϊόντα αυτών
el,Φιστίκια
el,φυστικέλαιο
en,_pistachios_ (groundnuts)
en,\037es
en,Æg
en,ägg
en,Ägg
en,Alune de pădure
en,amandelen
en,amandes
en,Amandes
en,Arahide
en,Barley ingredients
en,Bones
en,caffeine
en,Caffeine
en,cereals
en,Cereals
en,cocoa butter vanilia
en,Contains milk
en,contains sweetener
en,CONTIENE
en,cow-milk
en,CRUSTACEA
en,crustaceans
en,Custacea
en,Das Produkt kann Spuren von Sesam enthalten
en,Das Produkt kann Spuren von Soja enthalten! Kreuzkümmel
en,egg milk soy fish
en,eggs
en,ei
en,erdnusse
en,Erdnüsse
en,erdnüssen
en,Ernuss
en,fish
en,free-from-dairy-can-be-introduced-as-part-of-a-healthy-balanced-diet-from-1year-of-age-not-suitable-as-a-main-milk-drink-for-children-under-3-a-varied
en,FRUITS A COQUE
en,fruits à coque
en,Fruits à coque
en,fruits à coques
en,frutos de cáscara
en,frutta a guscio
en,frutta a guscio e derivati
en,galactose
en,gluten
en,gluten cereals
en,graines de sésame
en,haselnüssen
en,hasselnötter
en,havergluten
en,hazelnoten
en,huevos
en,Hühnereigelb
en,hvede
en,Kann Spuren von Walnüssen
en,Kardamom
en,Koemelkeiwit
en,Kurkuma
en,lait
en,Lait
en,Latte e glutine
en,leche
en,leche y derivados
en,Łubin
en,lupin
en,Lupinen - und Milcherzeugnissen enthalten.
en,mandel och sesamfrö
en,manufactured on equipment that also processes peanut
en,MAY ALSO CONTAIN
en,may contain gluten
en,May contain Nuts
en,may contain soy
en,may-contain-traces-of-celery
en,melk
en,Migdale
en,milch
en,Milchprodukte
en,milk
en,Milk Products
en,milk-and-mustard
en,mjölk
en,Mjölk
en,Mollusca
en,molluscs
en,mustard
en,nata
en,Nødder
en,noisettes
en,Noisettes
en,Noix de cajou et tu sésame
en,Noix de pécan
en,none
en,noten
en,Nüsse
en,nuts &soya
en,oeufs
en,Olive pips
en,Olive stones
en,orge
en,Orzechy
en,other  _dry nuts_ and _egg_
en,Owies
en,Pecannüssen Eiern
en,Peut contenir GLUTEN
en,Pfeffer
en,pistachenoten
en,PIT FRAGMENTS
en,Pits
en,Pitten
en,postacho) y huevo.
en,products based on milk
en,Produse din soia
en,puede contener trazas de frutos de cscara (almendra
en,pueden contener trazas de frutos de cáscara
en,rug
en,S
en,schaaldieren
en,schalenfruchte
en,Schalenfrüchte
en,schalenfrüchten
en,Schalenfrüchten
en,selderij
en,Selerie
en,Selleri
en,Sellerie
en,Selleriederivate
en,semi di sesamo
en,Senap
en,Senf
en,Senföl
en,Sesam
en,sesame-seeds
en,sésamo
en,sesamzaad
en,Sezam
en,Soja- und Lupinenerzeugnissen enthalten.
en,Soybean Products
en,soybeans
en,Spuren von Haselnüssen
en,STEMS
en,sucre
en,Sulohiten
en,sulphur-dioxide-and-sulphites
en,Susan
en,sussmolkepulver
en,sweet lupine
en,Tomato
en,Trace di frutta in guscio
en,trigo y otros cereales con gluten
en,uova
en,valnötter
en,vis
en,Walnuss
en,Walnusserzeugnisse
en,weekdieren
en,Wheat (Gluten)
en,Żyto
en,αυγό | Milk
en,βρωμη
en,ΓΑΛΑ
en,Γάλα
en,Γλουτένη (σιτηρά)
en,καρύδι
en,κριθάρι
en,μπορεί να περιέχει ήχνη από σιτάρι
en,Σησάμι
en,ΣΟΥΣΑΜΙ
en,σουσάμι
en,φουντούκι
es,40
es,agua levadura
es,Amarillo 5
es,Apio-mostaza
es,Apio-y-mostaza
es,aplo
es,Avena
es,Azucar-cacao-desgrasado-fecula-de-maiz
es,Carbochidratos
es,cebada  soja avena leche
es,Centeno). Puede contener trazas de avena y cebada y de frutos de cáscara (nueces y avellanas).
es,Coco
es,Contiene leche derivados de leche y soya.
es,Crustaceos-frutos-de-cascara
es,Elborado por alimentos agua clara S.A parque industrial latinoamericano
es,Erdnüsse
es,Fenilalanina
es,Fósforo
es,Fruits de closca
es,Fruta-de-cascara
es,FRUTOS DE CASCARA CACAHUETES Y SOJA.
es,frutos de cáscara y otro
es,GLUTEN DE TRIGO
es,Hecho en bolivia
es,Hierro
es,Huesos
es,Leche (lactosa) y gluten.
es,Leche de oveja
es,Leche frutos de cáscara y soja
es,Leche Soja
es,Leche y sus derivados (incluida la lactasa) y soja.
es,Leche y sus derivados (incluida la lactosa)
es,Leche y sus derivados (incluida la lactosa) y soja.
es,Leche y sus derivados (incluida lactosa).
es,Leche y sus derivados y gluten.
es,Libre de Gluten
es,Maní
es,Marisco
es,metabisulfito
es,Metabisulfito
es,Pescado-crustaceos-moluscos-frutos-de-cascara-y-apio
es,Proteínas
es,Puede contener trazas de leche y derivados (incluida lactosa) y apio.
es,Puede contener trazas de sésamo y/o soja.
es,Puede contener trazas de soja y/o sésamo.
es,Puede contener trazas detrigo
es,Puede tener semillas de sésamo y/o soja.
es,Puede-contenertrazas-de-gluten
es,Rutos de cáscara
es,Sal
es,Schalenfrüchte
es,Semidesnatada
es,Semillas de soja
es,SESAM0
es,Sesamo soja
es,Sésamo soja
es,Sin-gluten
es,Sin-lactosa
es,Soja y leche (lactosa)
es,Soja y leche (lactosa).
es,Sojabönor
es,Soya y Trigo (Gluten).
es,Sulfitos-y-mostaza
es,TRAMUZ
es,Vegano
ew,Frutos de cáscara
fr,1
fr,1-teneur-reste-en-lactose
fr,10
fr,10 g
fr,33
fr,40 g
fr,6 % d'alcool
fr,acidifiant
fr,ÆG og MÆLK
fr,alergenos-trazas-de-frutos-de-cascara
fr,Arêtes
fr,avena
fr,Bergkäse
fr,céleri moutarde graines de sésame
fr,Céleri moutarde soja
fr,céréales gluten soja molusque et lupin
fr,Ceufs
fr,contient de l'
